0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.9019,0.9019,0.9007,0.896,0.9019,0.9025,0.1,0.8941,0.9019,0.9025,0.9024,0.1,0.9019,0.9017,0.9024,0.8951
0.8936,0.8936,0.8927,0.8978,0.8936,0.8936,0.8901,0.8916,0.8936,0.8911,0.896,0.1,0.8936,0.8911,0.8905,0.8936
0.8828,0.8828,0.8869,0.8843,0.8828,0.8828,0.8821,0.8863,0.8828,0.8828,0.8861,0.891,0.8828,0.8828,0.8824,0.8839
0.8812,0.8812,0.8777,0.8854,0.8812,0.8812,0.88,0.1,0.8812,0.8812,0.8827,0.8856,0.8812,0.8812,0.8807,0.8846
0.8933,0.8933,0.8901,0.8928,0.8933,0.8933,0.8901,0.8891,0.8933,0.8933,0.8916,0.1,0.8933,0.8933,0.8887,0.8924
0.8943,0.8943,0.8925,0.8963,0.8943,0.8943,0.897,0.8992,0.8943,0.8943,0.8968,0.1,0.8943,0.8943,0.8942,0.8961
0.1,0.1,0.1,0.8934,0.1,0.1,0.1,0.8986,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9015
0.8943,0.8943,0.8946,0.8945,0.8943,0.8943,0.8974,0.8964,0.8943,0.8943,0.8972,0.9021,0.8943,0.8943,0.8956,0.8977
0.8989,0.8989,0.1,0.8997,0.8989,0.8989,0.8987,0.1,0.8989,0.8989,0.897,0.8945,0.8989,0.8989,0.1,0.9009
0.8979,0.8979,0.899,0.8973,0.8979,0.8979,0.8976,0.9015,0.8979,0.8979,0.8982,0.9044,0.8979,0.8979,0.8975,0.1
0.8979,0.8979,0.9,0.9011,0.8979,0.8979,0.8985,0.8988,0.8979,0.8979,0.8949,0.8995,0.8979,0.8979,0.8928,0.8953
